id;question;answer;created_at
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T18:21:11
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T17:59:37
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T15:16:03
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T11:22:18
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T08:33:19
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T12:38:44
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T23:45:09
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-07T00:50:03
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T21:07:00
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-06T20:30:29
